task_id,answer
k09698,C
k00203,B
k00137,B
k10490,C
rt03960,B
k08953,B
k04984,C
k08669,B
k09210,D
k11104,C
k11497,C
rt06011,B
k07094,C
k00242,B
k00664,C
rt03041,A
k04698,C
k02386,C
k11417,B
k00576,C
k10886,C
k10625,C
rt07797,B
k00727,C
k11221,D
k11484,B
k00487,B
k09258,D
k11372,B
k08858,C
rt05142,C
k04242,C
k07646,C
k11369,A
k00362,D
rt03568,C
k00386,B
k10136,D
rt07775,B
k09337,A
rt04548,B
rt01973,C
k09767,C
k00192,B
rt01980,C
k11406,A
k09065,C
k07537,B
k10312,C
rt02096,C
k00254,B
rt05274,A
k05645,A
k04920,C
k00241,A
k11161,A
k06759,C
rt07554,A
k11259,C
k08427,A
rt07312,C
k11210,B
k00222,A
k11174,B
k11267,D
k00536,A
rt08375,D
rt05715,B
k00448,D
rt01057,B
rt06976,C
k10480,B
k08495,C
k11023,C
rt02230,B
k08863,B
k10758,C
k03755,A
k11241,B
k08640,B
rt07279,B
k00277,A
k04680,A
rt02876,B
rt05746,C
k11263,C
k08251,C
k11132,B
k10839,D
rt00978,B
k10780,C
k07294,A
k11207,D
rt05533,C
rt04805,C
k07505,C
k07449,C
rt02344,D
rt00707,C
rt01327,C
k09123,D
rt02359,A
k11157,A
rt00778,B
k10206,D
rt01109,D
rt02057,D
k11065,C
rt00950,D
k08555,A
rt03099,B
k02901,D
k08893,D
k00191,B
rt01483,C
rt08327,D
k00039,D
k10591,C
k07029,C
rt01404,C
k07558,C
k10834,B
rt07621,B
k11176,C
rt01791,C
k06539,A
rt06226,C
k00504,D
k01479,A
rt06471,D
k00310,C
k10723,A
k00559,A
rt05114,B
k00920,A
k03897,A
k00107,B
k03977,D
rt03919,A
rt04237,B
rt01174,D
rt08161,C
rt01587,D
k00170,C
k05023,A
rt01037,D
k06118,C
rt01468,A
k10394,B
k01259,D
k06875,C
k09216,A
k10923,D
k00514,C
k01799,B
k02597,A
k01284,D
k01022,A
k00075,A
k00645,C
k08310,C
rt00559,D
k05932,D
k03229,A
rt02102,B
k10820,D
k10666,B
k02209,C
rt01757,B
k07590,C
k00424,B
k08905,I
rt07857,C
rt02859,A
rt04637,B
k06127,B
rt04711,C
k01726,B
k08817,B
k01322,D
k02291,B
k02289,C
rt00282,B
rt00404,C
k11329,C
k10336,C
rt05550,C
k10291,C
k10375,D
k10663,C
k11303,B
rt07564,A
k00631,B
rt01983,B
k00164,B
k10478,C
k03292,D
rt00887,C
k06176,B
k00573,B
k00082,A
k08839,C
k09803,C
k10559,A
rt01576,D
rt04372,A
k08709,C
k08373,A
rt00576,C
rt00683,C
rt01235,C
k09552,D
k09344,B
k00390,C
k01460,C
k08821,C
k09673,D
k11257,D
k11078,A
k07197,C
rt04738,D
rt02095,D
rt00998,B
